target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
dachs-local,dachs,Q03,votable,8,2,1364,0.0,11.333,0.720104,0.874095,0.873646,36598.9,0.015,True
egernia-local,egernia,Q03,votable,8,3,11226,0.0,93.338,0.034981,0.401097,0.399311,35736.4,0.085,True
dachs-local,dachs,Q03,votable,8,3,1366,0.0,11.356,0.721162,0.870666,0.870241,36488.3,0.015,True
egernia-local,egernia,Q03,votable,16,1,11146,0.0,92.701,0.115964,0.496713,0.494656,35735.3,0.08,True
dachs-local,dachs,Q03,votable,16,1,1308,0.0,10.804,1.472331,1.764999,1.764541,36686.2,0.015,True
egernia-local,egernia,Q03,votable,16,2,11101,0.0,92.314,0.116785,0.501325,0.498923,35677.6,0.07,True
dachs-local,dachs,Q03,votable,16,2,1312,0.0,10.84,1.466198,1.751338,1.750772,36711.4,0.015,True
egernia-local,egernia,Q03,votable,16,3,11215,0.0,93.135,0.114639,0.494573,0.492903,35724.4,0.07,True
dachs-local,dachs,Q03,votable,16,3,1311,0.0,10.807,1.470081,1.741706,1.741144,36461.7,0.015,True
egernia-local,egernia,Q03,votable,32,1,10900,0.0,90.382,0.299264,0.687657,0.68559,35675.1,0.07,True
dachs-local,dachs,Q03,votable,32,1,1322,0.0,10.786,2.958167,3.169375,3.16878,36704.0,0.02,True
egernia-local,egernia,Q03,votable,32,2,10768,0.0,89.295,0.303406,0.69405,0.69101,35633.9,0.07,True
dachs-local,dachs,Q03,votable,32,2,1338,0.0,10.919,2.932527,3.142095,3.141605,36827.6,0.025,True
egernia-local,egernia,Q03,votable,32,3,10765,0.0,89.289,0.30057,0.687395,0.684661,35687.9,0.07,True
dachs-local,dachs,Q03,votable,32,3,1327,0.0,10.874,2.950866,3.15011,3.149613,36443.3,0.015,True
egernia-local,egernia,Q04,votable,1,1,3702,0.0,30.844,0.031643,0.039592,0.038608,81025.8,0.08,True
dachs-local,dachs,Q04,votable,1,1,1320,0.0,10.999,0.074895,0.249428,0.24897,76070.0,0.03,True
egernia-local,egernia,Q04,votable,1,2,3690,0.0,30.749,0.031653,0.039836,0.038907,81008.0,0.085,True
dachs-local,dachs,Q04,votable,1,2,1325,0.0,11.04,0.074704,0.247755,0.247271,76131.5,0.03,True
egernia-local,egernia,Q04,votable,1,3,3692,0.0,30.767,0.031691,0.039698,0.038807,81007.9,0.075,True
dachs-local,dachs,Q04,votable,1,3,1319,0.0,10.991,0.075132,0.247834,0.247394,76075.7,0.03,True
egernia-local,egernia,Q04,votable,4,1,7353,0.0,61.263,0.064687,0.08191,0.078633,81003.4,0.07,True
dachs-local,dachs,Q04,votable,4,1,1385,0.0,11.504,0.319657,0.504282,0.503808,76041.4,0.015,True
egernia-local,egernia,Q04,votable,4,2,7362,0.0,61.311,0.064922,0.081336,0.077921,81004.7,0.05,True
dachs-local,dachs,Q04,votable,4,2,1370,0.0,11.391,0.322044,0.508539,0.508001,76084.3,0.015,True
egernia-local,egernia,Q04,votable,4,3,7343,0.0,61.159,0.064997,0.082305,0.078526,81021.1,0.05,True
dachs-local,dachs,Q04,votable,4,3,1375,0.0,11.45,0.320313,0.503225,0.502726,76077.5,0.015,True
egernia-local,egernia,Q04,votable,8,1,9411,0.0,78.4,0.101878,0.128838,0.121704,81011.1,0.06,True
dachs-local,dachs,Q04,votable,8,1,1361,0.0,11.303,0.720564,0.869518,0.86914,76101.3,0.015,True
