key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
stress-D1-Q11,stress,D1,2.155,closed,csv,4,1,,0,405,405,6.709687125433616,6.709687125433616,0.0,0.0,0.5949157558760986,0.5950758503749967,0.689880784228444,0.7397453184612092,0.7744056212194267,0.7763473903760314,0.09616564960097637,0.20263034431263802,17734790.290342297,1.0209021988134017,0.13937614016447294,257.0095628413714,0.9999914628760318,SERIALIZATION_BOUND,False
stress-D1-Q13,stress,D1,2.155,closed,csv,4,1,,0,1164,1164,19.360708089018978,19.360708089018978,0.0,0.0,0.20641764147643998,0.20682074083015323,0.29189891896676273,0.3296476276218888,0.35685221242765,0.37183848302811384,0.23010390013347953,0.2904410836286842,31218.992097346538,0.17055060423459112,7.671598306791433,0.0,0.9999999808713311,DATABASE_CPU_BOUND,False
stress-D1-Q14,stress,D1,2.155,closed,csv,4,1,,0,1542,1542,25.66394815200708,25.66394815200708,0.0,0.0,0.15572610088073238,0.13033268158324063,0.41347129989881054,0.4907954419450829,0.5737908459459452,0.6149234636686742,0.5313243101056654,0.4064711496001108,4554155.892209808,0.497590243775357,3.107839024115458,0.0,0.9998835551252095,UNKNOWN,False
conc-D2-c1-r0,concurrency,D2,10.012,closed,csv,1,1,,0,14383,14383,79.90181962353294,79.90181962353294,0.0,0.0,0.012484982357929783,0.01122044213116169,0.02330760243348777,0.027901778379455212,0.03178839286044257,0.12444037897512317,0.4056682246325532,0.01579274986870587,3167951.072037322,0.7601083594550845,0.13908963655346057,0.0,0.9568962199634029,UNKNOWN,False
conc-D2-c1-r1,concurrency,D2,10.012,closed,csv,1,1,,1,14433,14433,80.17870405288582,80.17870405288582,0.0,0.0,0.01244176219593738,0.011206252966076136,0.023099946230649947,0.027643651850521565,0.031725988321006336,0.1315698171965778,0.4061499894515765,0.015746583882719278,3154336.889059403,0.757208587760891,0.1339611530737731,0.0,0.9998338921931891,UNKNOWN,False
conc-D2-c1-r2,concurrency,D2,10.012,closed,csv,1,1,,2,14417,14417,80.09050279892551,80.09050279892551,0.0,0.0,0.01245566775155785,0.011182192713022232,0.02362825581803918,0.027751376572996388,0.03219195835292342,0.12720812810584903,0.40565563045155595,0.015726053435355422,3242720.737623915,0.7600332598114837,0.12999390778208464,0.0,0.999959768785867,UNKNOWN,False
conc-D2-c2-r0,concurrency,D2,10.012,closed,csv,2,1,,0,16617,16617,92.31042064888156,92.31042064888156,0.0,0.0,0.021636176978794972,0.020067746751010418,0.034068025089800356,0.04217433782294393,0.11707533453032402,0.14126647030934691,0.33353847843775686,0.027424769941717372,3655623.543284017,0.9475627895274281,0.15429278564202697,0.0,0.99999729642777,TAP_CPU_BOUND,False
conc-D2-c2-r1,concurrency,D2,10.012,closed,csv,2,1,,1,16652,16652,92.50794245482567,92.50794245482567,0.0,0.0,0.02158984756474156,0.020062807947397232,0.03417186124715954,0.04153631443623453,0.056017483316373316,0.14311022078618407,0.3265594317149037,0.02738010252360251,3646208.484918557,0.9515030850208523,0.15525071910902008,0.0,0.9999980276921878,TAP_CPU_BOUND,False
conc-D2-c2-r2,concurrency,D2,10.012,closed,csv,2,1,,2,16525,16525,91.79976857187266,91.79976857187266,0.0,0.0,0.021756163894786372,0.020168649964034557,0.03441358134150505,0.04202087400481107,0.11874031738379076,0.14582286635413766,0.3350708832577749,0.027533502783626318,3705580.6309508947,0.9523309121275289,0.1542461965964981,0.0,0.999997547537912,TAP_CPU_BOUND,False
conc-D2-c4-r0,concurrency,D2,10.012,closed,csv,4,1,,0,16925,16925,94.02307708919746,94.02307708919746,0.0,0.0,0.042512596372234326,0.04013833496719599,0.06604777360334989,0.08231971563771355,0.14930480066128274,0.18503494188189507,0.313709151788636,0.05387627463787794,3720072.2536850194,1.0351379300806771,0.16672693060134822,0.0,0.9999997585177433,TAP_CPU_BOUND,False
