target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
dachs-local,dachs,Q02,votable,1,3,616,0.0,5.132,0.173041,0.407623,0.407168,50866.9,0.02,True
egernia-local,egernia,Q02,votable,4,1,16143,0.0,134.503,0.028446,0.042518,0.040964,52518.8,0.095,True
dachs-local,dachs,Q02,votable,4,1,1237,0.0,10.296,0.355805,0.616529,0.615998,50899.8,0.015,True
egernia-local,egernia,Q02,votable,4,2,16117,0.0,134.284,0.028389,0.042746,0.041164,52522.1,0.105,True
dachs-local,dachs,Q02,votable,4,2,1219,0.0,10.139,0.365664,0.619553,0.618977,50885.7,0.035,True
egernia-local,egernia,Q02,votable,4,3,16114,0.0,134.273,0.028476,0.042909,0.041539,52524.2,0.095,True
dachs-local,dachs,Q02,votable,4,3,1230,0.0,10.232,0.365539,0.607145,0.606671,50885.1,0.015,True
egernia-local,egernia,Q02,votable,8,1,17878,0.0,148.939,0.051962,0.074709,0.071516,52518.5,0.095,True
dachs-local,dachs,Q02,votable,8,1,1205,0.0,9.988,0.813741,1.024315,1.023776,50897.1,0.015,True
egernia-local,egernia,Q02,votable,8,2,17841,0.0,148.644,0.052008,0.074698,0.07162,52521.6,0.095,True
dachs-local,dachs,Q02,votable,8,2,1204,0.0,9.998,0.806534,1.038103,1.037511,50888.2,0.015,True
egernia-local,egernia,Q02,votable,8,3,17874,0.0,148.915,0.05189,0.074468,0.071213,52522.5,0.095,True
dachs-local,dachs,Q02,votable,8,3,1201,0.0,9.986,0.815703,1.023983,1.023399,50885.4,0.015,True
egernia-local,egernia,Q02,votable,16,1,17348,0.0,144.478,0.107959,0.144588,0.139465,52518.4,0.095,True
dachs-local,dachs,Q02,votable,16,1,1160,0.0,9.588,1.664182,1.983772,1.98326,50898.0,0.015,True
egernia-local,egernia,Q02,votable,16,2,17361,0.0,144.589,0.107898,0.144643,0.139325,52520.8,0.095,True
dachs-local,dachs,Q02,votable,16,2,1163,0.0,9.585,1.653307,1.988481,1.988001,50892.0,0.015,True
egernia-local,egernia,Q02,votable,16,3,17419,0.0,145.073,0.107627,0.143443,0.137689,52523.1,0.09,True
dachs-local,dachs,Q02,votable,16,3,1156,0.0,9.553,1.66347,1.976984,1.976475,50888.1,0.015,True
egernia-local,egernia,Q02,votable,32,1,16379,0.0,136.334,0.229196,0.289428,0.283084,52518.2,0.09,True
dachs-local,dachs,Q02,votable,32,1,1177,0.0,9.608,3.337368,3.611879,3.61128,50898.9,0.015,True
egernia-local,egernia,Q02,votable,32,2,16453,0.0,136.939,0.228528,0.285284,0.279514,52521.7,0.09,True
dachs-local,dachs,Q02,votable,32,2,1177,0.0,9.605,3.330276,3.573421,3.572817,50889.8,0.02,True
egernia-local,egernia,Q02,votable,32,3,16412,0.0,136.567,0.22884,0.285492,0.279657,52523.4,0.09,True
dachs-local,dachs,Q02,votable,32,3,1177,0.0,9.567,3.347697,3.614605,3.613967,50883.7,0.015,True
egernia-local,egernia,Q03,votable,1,1,4042,0.0,33.674,0.013127,0.125673,0.125229,35654.4,0.085,True
dachs-local,dachs,Q03,votable,1,1,1162,0.0,9.671,0.072119,0.320646,0.320179,36723.1,0.03,True
egernia-local,egernia,Q03,votable,1,2,4063,0.0,33.858,0.013169,0.12616,0.125671,35738.5,0.095,True
dachs-local,dachs,Q03,votable,1,2,774,0.0,6.447,0.075018,0.453564,0.453088,35891.0,0.025,True
egernia-local,egernia,Q03,votable,1,3,4073,0.0,33.927,0.012972,0.125126,0.124559,35639.4,0.09,True
dachs-local,dachs,Q03,votable,1,3,1152,0.0,9.599,0.071493,0.315393,0.314911,35766.4,0.03,True
egernia-local,egernia,Q03,votable,4,1,12133,0.0,101.01,0.020764,0.156397,0.155549,35743.1,0.085,True
dachs-local,dachs,Q03,votable,4,1,1279,0.0,10.626,0.324947,0.588678,0.588141,36700.1,0.015,True
egernia-local,egernia,Q03,votable,4,2,12213,0.0,101.722,0.020388,0.155673,0.154617,35687.2,0.085,True
dachs-local,dachs,Q03,votable,4,2,1282,0.0,10.644,0.323282,0.588445,0.587944,36701.5,0.035,True
egernia-local,egernia,Q03,votable,4,3,12195,0.0,101.576,0.020451,0.155261,0.154438,35697.7,0.085,True
dachs-local,dachs,Q03,votable,4,3,1291,0.0,10.725,0.318539,0.590203,0.589715,36572.8,0.015,True
egernia-local,egernia,Q03,votable,8,1,16262,0.0,135.356,0.037872,0.190237,0.188649,35659.6,0.095,True
dachs-local,dachs,Q03,votable,8,1,1273,0.0,10.573,0.789461,0.956169,0.955641,36751.5,0.015,True
egernia-local,egernia,Q03,votable,8,2,16354,0.0,136.177,0.038104,0.189723,0.187877,35789.6,0.105,True
dachs-local,dachs,Q03,votable,8,2,1271,0.0,10.544,0.789623,0.943484,0.942887,36729.2,0.015,True
egernia-local,egernia,Q03,votable,8,3,16240,0.0,135.184,0.038102,0.191128,0.189268,35698.5,0.1,True
dachs-local,dachs,Q03,votable,8,3,1270,0.0,10.558,0.792182,0.949806,0.949338,36562.5,0.015,True
egernia-local,egernia,Q03,votable,16,1,15947,0.0,132.761,0.097961,0.255993,0.253063,35640.8,0.095,True
dachs-local,dachs,Q03,votable,16,1,1211,0.0,10.006,1.586493,1.945096,1.944583,36683.9,0.015,True
egernia-local,egernia,Q03,votable,16,2,16039,0.0,133.509,0.097803,0.255674,0.252977,35801.0,0.09,True
dachs-local,dachs,Q03,votable,16,2,1215,0.0,10.038,1.58059,1.90698,1.906436,36835.6,0.015,True
egernia-local,egernia,Q03,votable,16,3,15903,0.0,132.371,0.098774,0.256833,0.254127,35702.5,0.095,True
dachs-local,dachs,Q03,votable,16,3,1207,0.0,9.954,1.594139,1.881369,1.88086,36519.6,0.015,True
egernia-local,egernia,Q03,votable,32,1,15119,0.0,125.705,0.232902,0.395219,0.391924,35679.6,0.085,True
dachs-local,dachs,Q03,votable,32,1,1234,0.0,10.073,3.181467,3.398523,3.397944,36695.1,0.02,True
egernia-local,egernia,Q03,votable,32,2,15334,0.0,127.498,0.230126,0.389859,0.386939,35784.6,0.085,True
dachs-local,dachs,Q03,votable,32,2,1232,0.0,10.05,3.175092,3.387742,3.387249,36800.4,0.015,True
egernia-local,egernia,Q03,votable,32,3,15299,0.0,127.133,0.230252,0.391176,0.388323,35712.2,0.085,True
dachs-local,dachs,Q03,votable,32,3,1233,0.0,10.06,3.177667,3.380971,3.38037,36602.4,0.02,True
egernia-local,egernia,Q04,votable,1,1,5370,0.0,44.75,0.021668,0.026954,0.025905,81040.3,0.115,True
dachs-local,dachs,Q04,votable,1,1,1226,0.0,10.194,0.075553,0.318231,0.317748,76105.4,0.04,True
egernia-local,egernia,Q04,votable,1,2,5354,0.0,44.613,0.021727,0.027269,0.026215,81042.5,0.11,True
dachs-local,dachs,Q04,votable,1,2,1227,0.0,10.223,0.07561,0.319053,0.318594,76080.6,0.03,True
egernia-local,egernia,Q04,votable,1,3,5340,0.0,44.498,0.021754,0.027216,0.026218,81044.3,0.11,True
dachs-local,dachs,Q04,votable,1,3,1224,0.0,10.195,0.075875,0.31897,0.318281,76060.3,0.03,True
