key,kind,dataset,database_gib,mode,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D2-c1-r2,concurrency,D2,10.258,closed,1,1,,2,26139,26139,145.21666666666667,145.21666666666667,0.0,0.0,0.006853234043448564,0.006014833023073152,0.013124028893071224,0.01605860861192922,0.025300194451876534,0.13828491599997506,0.46720871686570153,0.009422954503679646,5822207.933333334,0.6064055199549875,0.1387264470776124,3684.5858058594017,1.0,UNKNOWN,False
conc-D2-c2-r0,concurrency,D2,10.258,closed,2,1,,0,30874,30874,171.5222222222222,171.5222222222222,0.0,0.0,0.01162941528713157,0.01042160450015217,0.020059282997681286,0.026709333766775673,0.05515095905421727,0.1325174999947194,0.44395928948679014,0.016229095504968427,6851280.616666666,0.8105632626484071,0.20725197095802578,375.2959137349364,1.0,UNKNOWN,False
conc-D2-c2-r1,concurrency,D2,10.258,closed,2,1,,1,30126,30126,167.36666666666667,167.36666666666667,0.0,0.0,0.011911721478250642,0.010938875013380311,0.020018228497065138,0.02524510399234714,0.04759115626075173,0.09868783300044015,0.38178625159203494,0.016049041230871808,6595889.788888888,0.774539215901988,0.1902551510926099,307.4156540064349,1.0,UNKNOWN,False
conc-D2-c2-r2,concurrency,D2,10.258,closed,2,1,,2,30591,30591,169.95,169.95,0.0,0.0,0.011733253138592787,0.010723167011747137,0.01995710349001456,0.025354062186670485,0.05270684651448479,0.1010232080006972,0.39833584288749807,0.015890813010628335,6783214.266666667,0.797112935466417,0.19345234654937218,0.0,1.0,UNKNOWN,False
conc-D2-c4-r0,concurrency,D2,10.258,closed,4,1,,0,35223,35223,195.68333333333334,195.68333333333334,0.0,0.0,0.020415327914536954,0.019019250001292676,0.03309681660612114,0.04164429600059514,0.07023559370206538,0.20559716699062847,0.3546122293600439,0.026936895196558907,7813756.616666666,1.0409146949204993,0.21402841890696353,0.0,1.0,TAP_CPU_BOUND,False
conc-D2-c4-r1,concurrency,D2,10.258,closed,4,1,,1,34765,34765,193.13888888888889,193.13888888888889,0.0,0.0,0.02068130754050966,0.019281209009932354,0.03350950860185548,0.041955405112821614,0.07675938199868233,0.14419408299727365,0.3576046832850351,0.027017766394419593,7667578.1,1.0178832705564504,0.21196026649905467,0.0,1.0,TAP_CPU_BOUND,False
conc-D2-c4-r2,concurrency,D2,10.258,closed,4,1,,2,35656,35656,198.0888888888889,198.0888888888889,0.0,0.0,0.020164477310262725,0.018902542011346668,0.03247293749882374,0.04098552064824611,0.06584136626639527,0.09536279199528508,0.33789624274274366,0.026247948000673205,7868317.738888889,1.021022768596069,0.19438880495308958,0.0,1.0,TAP_CPU_BOUND,False
conc-D2-c8-r0,concurrency,D2,10.258,closed,8,1,,0,31255,31255,173.63888888888889,173.63888888888889,0.0,0.0,0.046043474199752056,0.042761708988109604,0.07022292928595561,0.08693980135896708,0.11967526383162494,5.078074833989376,1.7684363109055505,0.05622472078539431,6925093.85,1.144132134646063,0.18011958540553444,0.0,1.0,TAP_CPU_BOUND,False
conc-D2-c8-r1,concurrency,D2,10.258,closed,8,1,,1,33746,33746,187.4777777777778,187.4777777777778,0.0,0.0,0.042647175450996014,0.04062972949759569,0.06642588501563296,0.08323162880260498,0.11958009672352127,0.27040966699132696,0.30888899988896185,0.053405978746013716,7395653.216666667,1.2071773217262163,0.1896584465186979,0.0,1.0,TAP_CPU_BOUND,False
conc-D2-c8-r2,concurrency,D2,10.258,closed,8,1,,2,32862,32862,182.56666666666666,182.56666666666666,0.0,0.0,0.04379943354650395,0.04053791650221683,0.06628961248643464,0.0824911893790704,0.10314870520337723,5.06181374998414,1.8035468166788258,0.0531403159853653,7276428.466666667,1.1828178293367153,0.17798465657189133,0.0,1.0,TAP_CPU_BOUND,False
sat-D2-c8-r0,saturation,D2,10.258,closed,8,1,,0,53583,53583,178.61,178.61,0.0,0.0,0.044770424368303155,0.041026499995496124,0.06768087049131281,0.08597484130878003,0.12894249574509842,5.069714792014565,1.9561173280102278,0.05441174609586595,6981938.75,1.198290252039946,0.21080828839587787,0.0,1.0,TAP_CPU_BOUND,False
sat-D2-c8-r1,saturation,D2,10.258,closed,8,1,,1,56329,56329,187.76333333333332,187.76333333333332,0.0,0.0,0.0425910844984594,0.039824375009629875,0.06491767480038106,0.08077023477526386,0.1041477577623452,5.075129833014216,1.4299528950062665,0.052063791401451454,7446931.246666667,1.2183283921672619,0.18690891545393118,0.0,1.0,TAP_CPU_BOUND,False
sat-D2-c8-r2,saturation,D2,10.258,closed,8,1,,2,55588,55588,185.29333333333332,185.29333333333332,0.0,0.0,0.04315488801567637,0.03966602099535521,0.06505284548184134,0.08066031688009385,0.11059996446961352,5.086473874980584,1.9932479423231375,0.05194546434067888,7426288.33,1.1740863146074452,0.1797675467167585,0.0,1.0,TAP_CPU_BOUND,False
sat-D2-c8-r3,saturation,D2,10.258,closed,8,1,,3,58199,58199,193.99666666666667,193.99666666666667,0.0,0.0,0.041217650872180406,0.03859004098922014,0.06290518369642087,0.0786469394911546,0.10349361250264358,5.098452417005319,1.4610235781948904,0.05039036669186316,7642547.143333334,1.2217170021903792,0.179008588622844,0.0,1.0,TAP_CPU_BOUND,False
sat-D2-c8-r4,saturation,D2,10.258,closed,8,1,,4,56977,56977,189.92333333333335,189.92333333333335,0.0,0.0,0.04210328127620913,0.039402374997735023,0.06422040019533597,0.0793008068203926,0.10147686799615756,5.078053459001239,1.4370365234755647,0.051310142199508836,7627916.99,1.2058476597038696,0.17936015609197176,0.0,1.0,TAP_CPU_BOUND,False
stress-D2-Q09,stress,D2,10.258,closed,4,1,,0,9133,9133,152.21666666666667,152.21666666666667,0.0,0.0,0.026256285867528158,0.025379416008945554,0.03450654979678802,0.04546672199270691,0.07938367202656894,0.09874812499037944,0.21830764021971774,0.030358474998502052,7920746.466666667,0.9318626913914341,0.5981998105834652,97.05931139072533,1.0,TAP_CPU_BOUND,False
stress-D2-Q11,stress,D2,10.258,closed,4,1,,0,759,759,12.65,12.65,0.0,0.0,0.317245996815046,0.3150952919968404,0.360452254494885,0.3926442162244348,0.4076807699820496,0.4113198340055533,0.07848892916481601,0.0892135911009973,33444537.9,1.018323137518908,0.1598746795053629,762.3653014652295,1.0,TAP_CPU_BOUND,False
stress-D2-Q13,stress,D2,10.258,closed,4,1,,0,104,104,1.7333333333333334,1.7333333333333334,0.0,0.0,2.319016006741339,2.20693864650093,3.1275520482449792,3.97850253271783,3.979607428862684,3.979734208987793,0.16852116778354545,3.1237487312595476,2817.35,0.009308987466219247,3.7872489512335035,34281.4154314392,1.0,DATABASE_CPU_BOUND,False
stress-D2-Q14,stress,D2,10.258,closed,4,1,,0,5326,5326,88.76666666666667,88.76666666666667,0.0,0.0,0.045053203032072074,0.04386370848806109,0.05731883301632479,0.06916273922979599,0.09810761030748857,0.12838991702301428,0.1598110416976312,0.04754307300026994,15753418.85,0.8837928420767097,1.4609047708433844,18137.999778059137,1.0,TAP_CPU_BOUND,False
