key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,workers,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
wsweep-w2-n2-D1-c8-r1,worker_sweep,D1,2.058,closed,csv,8,2,2,,1,14852,14852,329.9137959545727,329.9137959545727,0.0,0.0,0.024206350162452744,0.024626902537420392,0.04547879521269351,0.0595178808365017,0.12645868363231605,0.14475839398801327,0.5302511065233383,0.039017590810544775,9928170.032288799,3.4524478686006046,0.4999082971255847,0.0,1.0,UNKNOWN,False
wsweep-w2-n2-D1-c16-r0,worker_sweep,D1,2.058,closed,csv,16,2,2,,0,15100,15100,335.30349659064734,335.30349659064734,0.0,0.0,0.04765402864769644,0.04124050703831017,0.08839930454269052,0.12532029788009824,0.18159812077228063,0.25264847883954644,0.4656459564229651,0.07613389221951365,10325772.98986209,3.8887637247728297,0.5395835206447945,0.0,1.0,TAP_CPU_BOUND,False
wsweep-w2-n2-D1-c16-r1,worker_sweep,D1,2.058,closed,csv,16,2,2,,1,15127,15127,335.8478036825492,335.8478036825492,0.0,0.0,0.04757107313804379,0.045080040115863085,0.07303470266051588,0.0949462405592203,0.16803268032986815,0.21438946202397346,0.3139046834655487,0.06139518488198518,10165846.50613108,3.860510167772923,0.5383105159231738,0.0,1.0,TAP_CPU_BOUND,False
wsweep-w2-n4-D1-c1-r0,worker_sweep,D1,2.058,closed,csv,1,4,2,,0,3871,3871,86.01950687714697,86.01950687714697,0.0,0.0,0.011594857191111198,0.010736266151070595,0.02267188113182783,0.027036113478243372,0.03021705229301043,0.11343640508130193,0.3791427261680473,0.014761366182938218,2580242.9948946447,0.770746531651366,0.12491355260401776,0.0,0.9999971440933425,UNKNOWN,False
wsweep-w2-n4-D1-c1-r1,worker_sweep,D1,2.058,closed,csv,1,4,2,,1,3832,3832,85.13980856165844,85.13980856165844,0.0,0.0,0.011714391374745696,0.010769796092063189,0.020799517328850745,0.02724462715908885,0.030527164386119698,0.14307893812656403,0.3916717371608444,0.015029756492003797,2525516.9386276533,0.7724526217140969,0.12740267648449038,0.0,1.0,UNKNOWN,False
wsweep-w2-n4-D1-c2-r0,worker_sweep,D1,2.058,closed,csv,2,4,2,,0,7329,7329,162.78824452335817,162.78824452335817,0.0,0.0,0.012251496267095686,0.011289242189377546,0.02370588360354303,0.028410655595362187,0.03348319841548806,0.12186778895556927,0.3892818875642367,0.015502974484115839,5021161.178219717,1.516091479945486,0.23559722263532976,0.0,1.0,UNKNOWN,False
wsweep-w2-n4-D1-c2-r1,worker_sweep,D1,2.058,closed,csv,2,4,2,,1,7360,7360,163.5426883224827,163.5426883224827,0.0,0.0,0.01219541633162526,0.01130035798996687,0.0202823049155995,0.028583104126155376,0.033359096548054586,0.1386149600148201,0.3931418602493503,0.015649184514768422,4732289.139001369,1.519721136097366,0.2372844962096129,0.0,1.0,UNKNOWN,False
wsweep-w2-n4-D1-c4-r0,worker_sweep,D1,2.058,closed,csv,4,4,2,,0,13784,13784,306.24874623187293,306.24874623187293,0.0,0.0,0.013024734522476013,0.012046202551573515,0.024946732609532705,0.029802831541746854,0.03412586485268593,0.14001404866576195,0.3913799498662937,0.01648420460987836,9465877.623461155,2.955818730969316,0.4552098364530421,0.0,1.0,UNKNOWN,False
wsweep-w2-n4-D1-c4-r1,worker_sweep,D1,2.058,closed,csv,4,4,2,,1,11256,11256,250.064368901812,250.064368901812,0.0,0.0,0.015957168498986308,0.013934750575572252,0.028534453478641808,0.03830395708791918,0.052495982404798996,0.13803798286244273,0.4617499999188555,0.023645503097213805,7406741.185825932,2.4406454973137857,0.36672016012839065,0.0,1.0,UNKNOWN,False
wsweep-w2-n4-D1-c8-r0,worker_sweep,D1,2.058,closed,csv,8,4,2,,0,17436,17436,387.34930667108273,387.34930667108273,0.0,0.0,0.020611707269116666,0.01679007732309401,0.0409920314559713,0.05502102153841412,0.07831772712059358,0.14714471716433764,0.5414331216855198,0.035331595805473626,11896481.90952175,4.083812351848743,0.5971025394436194,0.0,1.0,UNKNOWN,False
